carat,cut,color,clarity,depth,table,x,y,z,price
0.31,Ideal,H,VS2,62.2,55.0,4.36,4.39,2.72,489
1.23,Premium,D,SI1,62.5,58.0,6.85,6.79,4.27,7715
0.97,Ideal,F,I1,60.7,56.0,6.43,6.41,3.9,2856
0.71,Ideal,G,VS2,62.5,57.0,5.72,5.68,3.56,2511
0.7,Ideal,G,VVS2,59.9,58.0,5.78,5.8,3.47,3234
0.9,Very Good,D,SI1,61.6,54.0,6.18,6.25,3.83,3880
1.17,Very Good,H,SI2,63.1,58.0,6.72,6.64,4.22,4455
0.42,Ideal,G,VS1,62.0,55.0,4.83,4.78,2.98,984
1.51,Premium,I,SI1,61.8,60.0,7.23,7.3,4.49,7989
0.3,Ideal,E,VS2,62.0,57.0,4.26,4.29,2.65,603
0.56,Ideal,E,VS2,62.6,57.0,5.29,5.26,3.3,1915
0.52,Ideal,E,SI2,61.8,57.0,5.14,5.18,3.19,1146
0.34,Ideal,G,VS2,62.0,54.0,4.5,4.47,2.78,765
1.03,Ideal,F,SI2,61.9,56.0,6.47,6.43,3.99,4280
2.1,Very Good,J,VS2,61.3,59.0,8.21,8.27,5.05,14229
0.31,Ideal,E,VVS1,62.4,56.0,4.35,4.37,2.72,801
0.55,Ideal,D,VVS2,60.8,56.0,5.31,5.34,3.24,3468
0.42,Ideal,D,SI1,61.8,57.0,4.81,4.77,2.96,1040
0.42,Very Good,G,VS1,59.4,59.0,4.86,4.9,2.9,921
1.04,Ideal,D,SI1,61.9,57.0,6.51,6.54,4.04,6112
0.7,Good,F,SI2,64.1,58.0,5.58,5.53,3.56,1792
0.32,Ideal,E,VS2,61.9,56.0,4.4,4.36,2.71,900
1.07,Premium,F,SI2,61.8,58.0,6.57,6.51,4.04,4446
0.75,Premium,D,SI1,59.2,58.0,5.96,5.93,3.52,3024
1.56,Premium,I,VVS2,60.5,58.0,7.53,7.45,4.53,8858
0.4,Ideal,E,VS2,62.9,55.0,4.73,4.72,2.97,975
0.3,Very Good,J,VS1,61.9,56.0,4.28,4.32,2.66,394
1.29,Premium,H,VS2,62.4,57.0,6.98,6.92,4.34,6987
0.35,Premium,J,VS1,62.4,58.0,5.67,5.64,3.53,949
0.55,Very Good,F,SI1,63.3,58.0,5.21,5.18,3.29,1449
1.04,Ideal,G,VS1,60.7,55.0,6.57,6.61,4.0,7655
0.46,Ideal,E,SI2,61.3,56.0,5.02,4.96,3.06,1116
1.01,Ideal,H,SI1,61.9,58.0,6.42,6.48,3.99,4767
0.31,Good,J,SI2,63.3,58.0,4.34,4.35,2.75,335
0.4,Ideal,F,IF,62.3,57.0,4.69,4.71,2.93,1292
0.54,Ideal,D,VVS1,61.3,56.0,5.24,5.26,3.22,4042
0.77,Premium,H,VS1,61.3,60.0,5.9,5.88,3.61,2789
1.25,Premium,G,SI2,61.1,58.0,6.96,6.91,4.24,4340
0.9,Premium,I,VS2,61.6,58.0,6.15,6.09,3.77,3478
1.01,Very Good,G,VS2,61.6,60.0,6.42,6.47,3.97,6406
0.35,Ideal,H,IF,62.1,54.0,4.55,4.59,2.84,887
1.14,Ideal,H,VS2,61.6,56.0,6.68,6.72,4.13,5831
0.91,Ideal,H,SI1,62.1,57.0,6.18,6.21,3.85,4919
0.3,Ideal,E,VS2,62.6,54.0,4.29,4.33,2.7,658
1.01,Very Good,D,SI2,63.1,54.0,6.43,6.37,4.04,4338
0.61,Very Good,G,VS2,62.0,57.0,5.44,5.47,3.38,1861
0.52,Ideal,G,VVS2,61.5,56.0,5.18,5.2,3.19,1911
0.27,Ideal,E,VVS1,62.0,56.0,4.19,4.16,2.59,752
2.01,Very Good,G,SI1,63.5,60.0,7.98,7.89,5.04,15038
0.37,Ideal,E,VS1,61.4,55.0,4.62,4.66,2.85,1087
0.31,Ideal,H,SI1,61.3,56.0,4.36,4.39,2.68,464
0.32,Ideal,F,VS1,61.3,56.0,4.4,4.44,2.71,702
0.3,Very Good,D,VVS2,62.9,56.0,4.27,4.29,2.69,752
0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,844
2.07,Ideal,I,SI2,62.0,55.0,8.22,8.12,5.07,16337
0.43,Premium,G,VS2,60.8,59.0,4.86,4.91,2.97,867
1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,3676
0.42,Very Good,I,SI1,63.5,54.0,4.76,4.72,3.01,829
1.51,Premium,H,VS1,61.0,60.0,7.34,7.29,4.46,11263
0.56,Premium,F,SI1,60.8,58.0,5.31,5.34,3.24,1436
0.92,Very Good,D,SI2,61.6,58.0,6.19,6.22,3.82,4327
1.51,Ideal,I,VS2,61.6,57.0,7.34,7.28,4.5,9352
0.9,Premium,H,I1,58.8,62.0,6.32,6.26,3.7,1599
0.7,Premium,G,SI2,61.0,58.0,5.75,5.72,3.5,1875
0.7,Very Good,D,VS1,60.4,58.0,5.71,5.78,3.47,3008
1.03,Very Good,F,SI2,61.8,59.0,6.43,6.48,3.99,4414
0.3,Ideal,E,VS1,60.0,56.0,4.39,4.41,2.64,663
1.11,Ideal,E,SI2,60.6,56.0,6.76,6.78,4.1,5962
0.3,Ideal,G,SI1,62.2,57.0,4.26,4.29,2.66,477
1.06,Ideal,F,SI1,61.7,55.1,6.56,6.58,4.06,6249
0.3,Ideal,E,VVS1,62.6,54.0,4.3,4.33,2.7,838
0.66,Good,G,VS1,61.6,61.0,5.56,5.63,3.43,2139
